"Sl
no.","District
Name","Market
Name",Commodity,Variety,Grade,"Min Price
(Rs./Quintal)","Max Price
(Rs./Quintal)","Modal Price
(Rs./Quintal)", Price Date
28,Nashik,Nasik,Onion,Pole,FAQ,1100,2701,2300,01/01/2025
31,Nashik,Nasik,Onion,Pole,FAQ,1300,2601,2200,02/01/2025
30,Nashik,Nasik,Onion,Pole,FAQ,1200,2700,2250,03/01/2025
21,Nashik,Nasik,Onion,Pole,FAQ,1000,2751,2300,04/01/2025
25,Nashik,Nasik,Onion,Pole,FAQ,1100,2655,2250,06/01/2025
20,Nashik,Nasik,Onion,Pole,FAQ,1000,2701,2300,07/01/2025
32,Nashik,Nasik,Onion,Pole,FAQ,1300,2851,2350,08/01/2025
19,Nashik,Nasik,Onion,Pole,FAQ,1000,2451,1900,09/01/2025
22,Nashik,Nasik,Onion,Pole,FAQ,1050,2300,1800,10/01/2025
27,Nashik,Nasik,Onion,Pole,FAQ,1100,2700,2050,11/01/2025
16,Nashik,Nasik,Onion,Pole,FAQ,900,2000,1500,13/01/2025
26,Nashik,Nasik,Onion,Pole,FAQ,1100,2700,1975,14/01/2025
17,Nashik,Nasik,Onion,Pole,FAQ,900,2311,1511,15/01/2025
18,Nashik,Nasik,Onion,Pole,FAQ,1000,2411,1600,16/01/2025
33,Nashik,Nasik,Onion,Pole,FAQ,1400,2751,2300,17/01/2025
36,Nashik,Nasik,Onion,Pole,FAQ,1611,3500,2500,18/01/2025
24,Nashik,Nasik,Onion,Pole,FAQ,1100,2501,2250,20/01/2025
34,Nashik,Nasik,Onion,Pole,FAQ,1400,2800,2350,21/01/2025
23,Nashik,Nasik,Onion,Pole,FAQ,1100,2500,2150,22/01/2025
29,Nashik,Nasik,Onion,Pole,FAQ,1200,2641,2100,23/01/2025
35,Nashik,Nasik,Onion,Pole,FAQ,1400,3275,2600,24/01/2025
54,Nashik,Nasik,Onion,Pole,Local,1100,2701,2250,25/01/2025
49,Nashik,Nasik,Onion,Pole,Local,1000,2551,1900,27/01/2025
52,Nashik,Nasik,Onion,Pole,Local,1100,2611,2050,28/01/2025
61,Nashik,Nasik,Onion,Pole,Local,1200,2751,2100,29/01/2025
59,Nashik,Nasik,Onion,Pole,Local,1150,2900,2200,30/01/2025
13,Nashik,Nasik,Onion,Other,Local,1200,3000,2300,31/01/2025
56,Nashik,Nasik,Onion,Pole,Local,1100,2951,2250,01/02/2025
48,Nashik,Nasik,Onion,Pole,Local,1000,2300,1850,03/02/2025
55,Nashik,Nasik,Onion,Pole,Local,1100,2851,2100,04/02/2025
53,Nashik,Nasik,Onion,Pole,Local,1100,2651,2050,05/02/2025
42,Nashik,Nasik,Onion,Pole,Local,700,2615,2111,06/02/2025
45,Nashik,Nasik,Onion,Pole,Local,800,2575,2101,07/02/2025
50,Nashik,Nasik,Onion,Pole,Local,1050,3000,2250,08/02/2025
15,Nashik,Nasik,Onion,Other,Local,1400,3500,2650,13/02/2025
70,Nashik,Nasik,Onion,Pole,Local,1250,3401,2790,14/02/2025
76,Nashik,Nasik,Onion,Pole,Local,1400,3850,2900,15/02/2025
65,Nashik,Nasik,Onion,Pole,Local,1200,3275,2600,17/02/2025
69,Nashik,Nasik,Onion,Pole,Local,1250,3400,2650,18/02/2025
58,Nashik,Nasik,Onion,Pole,Local,1100,3200,2600,20/02/2025
57,Nashik,Nasik,Onion,Pole,Local,1100,3100,2450,21/02/2025
75,Nashik,Nasik,Onion,Pole,Local,1400,3351,2650,22/02/2025
14,Nashik,Nasik,Onion,Other,Local,1250,3100,2500,24/02/2025
72,Nashik,Nasik,Onion,Pole,Local,1300,3101,2550,25/02/2025
60,Nashik,Nasik,Onion,Pole,Local,1200,2550,2250,26/02/2025
66,Nashik,Nasik,Onion,Pole,Local,1250,2600,2300,27/02/2025
71,Nashik,Nasik,Onion,Pole,Local,1300,2900,2400,28/02/2025
73,Nashik,Nasik,Onion,Pole,Local,1400,3000,2450,01/03/2025
64,Nashik,Nasik,Onion,Pole,Local,1200,2900,2400,03/03/2025
68,Nashik,Nasik,Onion,Pole,Local,1250,3000,2450,04/03/2025
63,Nashik,Nasik,Onion,Pole,Local,1200,2851,2350,05/03/2025
74,Nashik,Nasik,Onion,Pole,Local,1400,3001,2500,06/03/2025
62,Nashik,Nasik,Onion,Pole,Local,1200,2800,2350,07/03/2025
67,Nashik,Nasik,Onion,Pole,Local,1250,2611,2200,08/03/2025
51,Nashik,Nasik,Onion,Pole,Local,1100,2211,1800,10/03/2025
46,Nashik,Nasik,Onion,Pole,Local,850,1911,1650,11/03/2025
44,Nashik,Nasik,Onion,Pole,Local,750,1900,1600,12/03/2025
39,Nashik,Nasik,Onion,Pole,Local,650,1650,1400,14/03/2025
43,Nashik,Nasik,Onion,Pole,Local,750,1851,1500,15/03/2025
47,Nashik,Nasik,Onion,Pole,Local,900,2051,1550,17/03/2025
41,Nashik,Nasik,Onion,Pole,Local,700,1850,1250,18/03/2025
40,Nashik,Nasik,Onion,Pole,Local,650,1751,1300,19/03/2025
37,Nashik,Nasik,Onion,Pole,Local,600,1721,1350,20/03/2025
38,Nashik,Nasik,Onion,Pole,Local,650,1600,1300,21/03/2025
8,Nashik,Nasik,Onion,Other,Local,600,1600,1350,22/03/2025
5,Nashik,Nasik,Onion,Other,Local,550,1611,1300,24/03/2025
9,Nashik,Nasik,Onion,Other,Local,650,1751,1400,25/03/2025
7,Nashik,Nasik,Onion,Other,Local,550,1701,1375,26/03/2025
11,Nashik,Nasik,Onion,Other,Local,700,1821,1500,27/03/2025
12,Nashik,Nasik,Onion,Other,Local,750,2025,1600,28/03/2025
10,Nashik,Nasik,Onion,Other,Local,650,1890,1500,29/03/2025
6,Nashik,Nasik,Onion,Other,Local,550,1700,1300,01/04/2025
3,Nashik,Nasik,Onion,Other,Local,450,1550,1200,02/04/2025
2,Nashik,Nasik,Onion,Other,Local,450,1511,1275,04/04/2025
4,Nashik,Nasik,Onion,Other,Local,500,1550,1300,05/04/2025
1,Nashik,Nasik,Onion,Other,Local,400,1450,1200,07/04/2025
